SurveyID,QuestionID,Rating
1,1,5
1,2,5
1,3,5
1,4,5
1,5,2
2,1,2
2,2,1
2,3,5
2,4,2
2,5,5
3,1,5
3,2,1
3,3,1
3,4,1
3,5,3
4,1,3
4,2,5
4,3,2
4,4,1
4,5,3
5,1,3
5,2,5
5,3,4
5,4,5
5,5,2
6,1,5
6,2,2
6,3,3
6,4,5
6,5,2
7,1,4
7,2,4
7,3,5
7,4,5
7,5,3
8,1,3
8,2,1
8,3,5
8,4,4
8,5,4
9,1,2
9,2,2
9,3,1
9,4,1
9,5,2
10,1,2
10,2,3
10,3,4
10,4,3
10,5,4
11,1,4
11,2,4
11,3,2
11,4,2
11,5,2
12,1,1
12,2,3
12,3,1
12,4,4
12,5,2
13,1,4
13,2,1
13,3,4
13,4,3
13,5,3
14,1,3
14,2,4
14,3,3
14,4,3
14,5,2
15,1,2
15,2,5
15,3,3
15,4,4
15,5,1
16,1,3
16,2,3
16,3,2
16,4,4
16,5,2
17,1,5
17,2,2
17,3,4
17,4,2
17,5,4
18,1,4
18,2,3
18,3,2
18,4,2
18,5,1
19,1,1
19,2,1
19,3,2
19,4,1
19,5,1
20,1,4
20,2,3
20,3,5
20,4,1
20,5,5
21,1,5
21,2,5
21,3,2
21,4,5
21,5,2
22,1,1
22,2,5
22,3,4
22,4,2
22,5,5
23,1,3
23,2,2
23,3,4
23,4,4
23,5,1
24,1,4
24,2,2
24,3,4
24,4,3
24,5,4
25,1,3
25,2,3
25,3,2
25,4,2
25,5,1
26,1,2
26,2,4
26,3,2
26,4,5
26,5,4
27,1,3
27,2,3
27,3,4
27,4,1
27,5,2
28,1,2
28,2,1
28,3,1
28,4,2
28,5,3
29,1,5
29,2,3
29,3,1
29,4,2
29,5,2
30,1,4
30,2,3
30,3,2
30,4,4
30,5,4
31,1,2
31,2,2
31,3,5
31,4,5
31,5,5
32,1,2
32,2,4
32,3,3
32,4,4
32,5,5
33,1,1
33,2,4
33,3,2
33,4,4
33,5,5
34,1,1
34,2,1
34,3,4
34,4,5
34,5,1
35,1,2
35,2,5
35,3,1
35,4,1
35,5,3
36,1,3
36,2,2
36,3,1
36,4,4
36,5,1
37,1,2
37,2,5
37,3,3
37,4,1
37,5,2
38,1,1
38,2,2
38,3,1
38,4,4
38,5,5
39,1,2
39,2,3
39,3,1
39,4,2
39,5,2
40,1,5
40,2,2
40,3,5
40,4,3
40,5,1
41,1,5
41,2,1
41,3,4
41,4,2
41,5,4
42,1,3
42,2,1
42,3,3
42,4,2
42,5,4
43,1,1
43,2,2
43,3,4
43,4,5
43,5,5
44,1,3
44,2,2
44,3,2
44,4,1
44,5,3
45,1,1
45,2,1
45,3,1
45,4,4
45,5,5
46,1,2
46,2,4
46,3,3
46,4,3
46,5,5
47,1,4
47,2,2
47,3,2
47,4,5
47,5,2
48,1,4
48,2,1
48,3,1
48,4,4
48,5,2
49,1,2
49,2,4
49,3,1
49,4,2
49,5,3
50,1,5
50,2,2
50,3,3
50,4,1
50,5,1
51,1,5
51,2,5
51,3,1
51,4,5
51,5,3
52,1,4
52,2,4
52,3,4
52,4,3
52,5,2
53,1,4
53,2,5
53,3,5
53,4,5
53,5,4
54,1,1
54,2,5
54,3,4
54,4,3
54,5,4
55,1,4
55,2,3
55,3,1
55,4,4
55,5,3
56,1,4
56,2,2
56,3,3
56,4,4
56,5,5
57,1,2
57,2,3
57,3,1
57,4,2
57,5,2
58,1,1
58,2,3
58,3,4
58,4,5
58,5,4
59,1,5
59,2,5
59,3,1
59,4,2
59,5,2
60,1,4
60,2,2
60,3,5
60,4,2
60,5,1
61,1,4
61,2,3
61,3,4
61,4,3
61,5,5
62,1,4
62,2,2
62,3,5
62,4,1
62,5,4
63,1,3
